path,function,time,blocks,matrix
./data/kernels/16910/23/main.cu,addback_spikes,19.5,"(24, 24)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,19.64,"(32, 32)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,19.96,"(1, 64)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,19.58,"(1, 128)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.491,"(1, 192)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,27.99,"(1, 256)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.2,"(1, 320)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,21.22,"(1, 384)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.37,"(1, 448)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.18,"(1, 512)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.61,"(1, 576)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.21,"(1, 640)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,21.11,"(1, 704)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.71,"(1, 768)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,28.34,"(1, 832)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.66,"(1, 896)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.52,"(1, 960)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,21.63,"(1, 1024)","(240, 240)"
./data/kernels/16910/23/main.cu,addback_spikes,20.68,"(8, 8)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,20.29,"(16, 16)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,20.95,"(24, 24)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,20.27,"(32, 32)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,21.02,"(1, 64)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,21.21,"(1, 128)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,21.41,"(1, 192)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,20.46,"(1, 256)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,22.08,"(1, 320)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,20.84,"(1, 384)","(496, 496)"
./data/kernels/16910/23/main.cu,addback_spikes,21.86,"(1, 448)","(496, 496)"
